construction,RPLY1_cured_angle,RBELT1_cured_angle,RBELT2_cured_angle,RPLY2_cured_angle,Curing Width_UDMSIteration,Rim Width_UDMSIteration,Tread Arc Radius 1,Belt Width 1,Belt Width 2,Rim Diameter,Section Height,Shoulder Radius,Cavity Outer Diameter,Cavity Section Width,inflation,Inner Perimeter,Apex Ending,Minimum Side Wall gauge,Base Gauge at Centre,Cap Thickness at centre,Non Skid Depth,Ply turnup height 1,Ply turnup height 2,Total Center Guage,Total Rubber Guage at Shoulder,Total Shoulder Gauge,size,Section Ratio,Belt_Angle_Difference,Belt_Width_Difference,RPLY1_epi,RBELT1_epi,RBELT2_epi,RCAPPLY_epi,RPLY2_epi,RPLY1_denier,RBELT1_denier,RBELT2_denier,RCAPPLY_denier,RPLY2_denier,Aspect_ratio
1+0,90,25,-24,Not Applicable,7,6.5,500,168.105,154.929,16,130.88,38.7,664,226.7,210,425.955,32.229,2.995,2.949,6.882,0,59.113,0,14.74,7.01,12.77,215/60R16,0.577326864,49,13.176,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,60
1+0,90,25,-24,Not Applicable,7,6.5,500,163.46,152.754,16,130.85,38.7,662,226.71,210,425.095,43.904,1.938,3.216,6.872,7.871,59.304,0,14.63,6.854,12.048,215/60R16,0.577169071,49,10.706,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,60
2+0,90,25,-23,90,6.5,6,420,145.397,133.626,16,112.3,23.996,623.5,198.998,180,356.278,33.603,3.029,2,7,6.978,45,33.603,15.29,7.006,14.02,185/60R16,0.56432728,48,11.771,28,18,18,30,28,1000,NA,NA,1260,28,60
2+0,90,25,-23,90,6.5,6,420,145.397,133.626,16,112.3,23.996,623.5,198.998,210,356.278,33.603,3.029,2,7,6.978,45,33.603,15.29,7.006,14.02,185/60R16,0.56432728,48,11.771,28,18,18,30,28,1000,NA,NA,1260,28,60
2+0,90,25,-23,90,6.5,6,420,145.397,133.626,16,112.3,23.996,623.5,198.998,220,356.278,33.603,3.029,2,7,6.978,45,33.603,15.29,7.006,14.02,185/60R16,0.56432728,48,11.771,28,18,18,30,28,1000,NA,NA,1260,28,60
1+SL,90,26,-28,Not Applicable,7,6,450,144.796,134.685,16,119.32,35.1,638,214.963,210,380.943,32.519,2.515,4.24,6.6,7.137,0,0,15.5,6.157,12.744,195/60R16,0.555072268,54,10.111,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
1+0,90,18,-18,Not Applicable,7,6,500,165.292,153.203,16,130.91,69.937,662,226.684,210,416.414,40.695,2.79,2,9.3,8.277,64.959,0,16.37,7.64,11.861,215/60R16,0.577499956,36,12.089,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,60
1+0,90,18,-18,Not Applicable,7,6,500,165.292,153.203,16,130.91,69.937,662,226.684,230,416.414,40.695,2.79,2,9.3,8.277,64.959,0,16.37,7.64,11.861,215/60R16,0.577499956,36,12.089,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,60
1+SL,90,27,-27,Not Applicable,5.5,5,295,116.348,104.744,14,134.95,98.754,618.46,168.995,180,363.624,35.445,2.634,2.5,0.021,6.874,0,0,14.5,0,6.145,165/80R14,0.798544336,54,11.604,28,18,18,20,Not Applicable,1000,NA,NA,840,Not Applicable,80
1+SL,90,27,-27,Not Applicable,5.5,5,295,116.348,104.744,14,134.95,98.754,618.46,168.995,200,363.624,35.445,2.634,2.5,0.021,6.874,0,0,14.5,0,6.145,165/80R14,0.798544336,54,11.604,28,18,18,20,Not Applicable,1000,NA,NA,840,Not Applicable,80
1+SL,90,27,-27,Not Applicable,5.5,5,295,116.348,104.744,14,134.95,98.754,618.46,168.995,210,363.624,35.445,2.634,2.5,0.021,6.874,0,0,14.5,0,6.145,165/80R14,0.798544336,54,11.604,28,18,18,20,Not Applicable,1000,NA,NA,840,Not Applicable,80
2+0,90,25,-25,90,7.5,7,900,176.551,164.778,17,120.12,45,670,236.999,250,419.545,35.332,2.894,3.185,5.315,6.986,54.741,20,14.44,6.571,12.821,215/55R17,0.506837582,50,11.773,28,18,18,30,28,1000,NA,NA,1260,28,55
1+0,90,25,-24,Not Applicable,7,6.5,500,158.806,152.604,16,130.88,38.7,662,226.708,210,424.689,43.327,2.168,3.127,6.303,8.503,59.247,0,14.38,7.112,12.764,215/60R16,0.577306491,49,6.30496,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,60
1+0,90,27,-27,Not Applicable,7.3,6,600,165.41,153.731,16,126.56,30,652,225,180,410.583,28.937,3.052,3,6.9,7.38,60,0,14.9,6.923,13.439,205/60R16,0.562488889,54,11.679,29,18,18,20,Not Applicable,1500,NA,NA,840,Not Applicable,60
1+0,90,27,-27,Not Applicable,7.3,6,600,165.41,153.731,16,126.56,30,652,225,230,410.583,28.937,3.052,3,6.9,7.38,60,0,14.9,6.923,13.439,205/60R16,0.562488889,54,11.679,29,18,18,20,Not Applicable,1500,NA,NA,840,Not Applicable,60
1+0,90,25,-24,Not Applicable,7,6.5,500,163.46,152.754,16,130.64,38.7,663.96,226.711,210,425.095,43.904,1.937,3.033,6.856,7.888,59.304,0,14.63,6.861,12.038,215/60R16,0.576240235,49,10.706,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,60
2+0,-90,27,-27,90,9,8.5,830,206.168,194.098,19,110.52,30,701.2,258.199,250,413.004,41.021,2.112,1.872,7.701,6.631,55,19.922,16.01,5.199,13.501,245/45R19,0.428041937,54,12.07,28,18,18,25,28,1000,NA,NA,1260,28,45
1+SL,-87,26,-26,Not Applicable,6,5.5,400,132,120,15,158,23,689.94,198.999,180,432.532,50.973,2.996,2.503,7.8,7.754,0,0,6.71,7.335,16.031,195/80R15,0.793973839,52,12,28,18,18,25,Not Applicable,1000,NA,NA,1260,Not Applicable,80
1+SL,-87,26,-26,Not Applicable,6,5.5,400,132,120,15,158,23,689.94,198.999,210,432.532,50.973,2.996,2.503,7.8,7.754,0,0,6.71,7.335,16.031,195/80R15,0.793973839,52,12,28,18,18,25,Not Applicable,1000,NA,NA,1260,Not Applicable,80
1+SL,90,26,-26,Not Applicable,5.5,5,400,122.778,111.525,14,134.6,0,617.96,169.988,200,365.309,25.174,2.7,0.66,9.428,6.949,0,0,0,0,0,165/80R14,0.791820599,52,11.253,28,18,18,20,Not Applicable,1000,NA,NA,840,Not Applicable,80
1+SL,90,26,-26,Not Applicable,5.5,5,400,122.778,111.525,14,134.6,0,617.96,169.988,210,365.309,25.174,2.7,0.66,9.428,6.949,0,0,0,0,0,165/80R14,0.791820599,52,11.253,28,18,18,20,Not Applicable,1000,NA,NA,840,Not Applicable,80
1+SL,90,28,-28,Not Applicable,5.5,5,400,110.777,100.633,14,133.98,40.773,617.96,170,200,363.11,28.642,2.495,2.412,7.005,6.016,0,0,13.68,6.964,13.958,165/80R14,0.788117647,56,10.144,28,22,22,20,Not Applicable,1000,2x0p3HT,2x0p3HT,840,Not Applicable,80
1+SL,90,28,-28,Not Applicable,5.5,5,400,110.777,100.633,14,133.98,40.773,617.96,170,210,363.11,28.642,2.495,2.412,7.005,6.016,0,0,13.68,6.964,13.958,165/80R14,0.788117647,56,10.144,28,22,22,20,Not Applicable,1000,2x0p3HT,2x0p3HT,840,Not Applicable,80
1+SL,90,25,-27,Not Applicable,7,6.5,500,158.902,146.904,16,131.13,68.43,661,227.999,180,426.711,32.605,2.526,3.5,6.8,7.478,0,0,15.31,0,5.728,215/60R16,0.575134101,52,11.998,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
1+SL,90,25,-27,Not Applicable,7,6.5,500,158.902,146.904,16,131.13,68.43,661,227.999,210,426.711,32.605,2.526,3.5,6.8,7.478,0,0,15.31,0,5.728,215/60R16,0.575134101,52,11.998,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
1+SL,90,25,-27,Not Applicable,7,6.5,500,158.902,146.904,16,131.13,68.43,661,227.999,230,426.711,32.605,2.526,3.5,6.8,7.478,0,0,15.31,0,5.728,215/60R16,0.575134101,52,11.998,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
1+0,-90,23,-25,Not Applicable,5,4,295.01,123.696,111.553,14,135.46,24,619.98,168.991,180,376.194,34.444,2.986,2.2,6.6,2.36,59.999,0,13.52,6.039,12.323,165/80R14,0.801581149,48,12.143,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,80
1+0,-90,23,-25,Not Applicable,5,4,295.01,123.696,111.553,14,135.46,24,619.98,168.991,210,376.194,34.444,2.986,2.2,6.6,2.36,59.999,0,13.52,6.039,12.323,165/80R14,0.801581149,48,12.143,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,80
1+0,-90,23,-25,Not Applicable,5,4,295.01,123.696,111.553,14,135.46,24,619.98,168.991,240,376.194,34.444,2.986,2.2,6.6,2.36,59.999,0,13.52,6.039,12.323,165/80R14,0.801581149,48,12.143,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,80
1+0,90,25,-24,Not Applicable,7,6.5,500,161.819,154.29,16,130.88,38.7,664,226.69,210,417.987,43.903,2.436,3.264,6.312,3.921,59.151,0,14.74,7.127,13.405,215/60R16,0.577352331,49,7.529,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,60
1+SL,90,23,-23,Not Applicable,5.5,5,400,122.778,111.525,14,134.6,0,617.96,169.988,200,365.309,25.174,2.7,0.66,9.428,6.949,0,0,0,0,0,165/80R14,0.791820599,46,11.253,28,22,22,20,Not Applicable,1000,2x0p3HT,2x0p3HT,840,Not Applicable,80
1+SL,90,23,-23,Not Applicable,5.5,5,400,122.778,111.525,14,134.6,0,617.96,169.988,210,365.309,25.174,2.7,0.66,9.428,6.949,0,0,0,0,0,165/80R14,0.791820599,46,11.253,28,22,22,20,Not Applicable,1000,2x0p3HT,2x0p3HT,840,Not Applicable,80
2+0,87,26,-26,-87,9.5,8,523.07,187.661,175.989,18,160.08,100.051,779,275.988,210,495.587,52.169,3.53,4,9.399,9.381,65.625,80.05814,18.6276,8.258,13.592,145/70R12,0.580025218,52,11.672,29,16,16,29,29,1500,NA,NA,840,29,70
2+0,90,25,-25,90,6.5,6,420,143.205,131.552,16,112.65,53.249,624.46,196.991,180,347.032,42.268,3.112,2,0.017,6.976,50,42.268,15.11,0,6.737,185/60R16,0.571853536,50,11.653,28,18,18,30,28,1000,NA,NA,1260,28,60
2+0,90,25,-25,90,6.5,6,420,143.205,131.552,16,112.65,53.249,624.46,196.991,210,347.032,42.268,3.112,2,0.017,6.976,50,42.268,15.11,0,6.737,185/60R16,0.571853536,50,11.653,28,18,18,30,28,1000,NA,NA,1260,28,60
1+SL,-87,24,-25,Not Applicable,5.5,5,400,141.198,118.206,15,107.16,31.5,590.96,187.756,180,348.926,43.821,2.567,2.163,7.4,7.38,0,0,14.47,4.817,12.723,175/60R15,0.570740749,49,19.67922,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
1+SL,-87,24,-25,Not Applicable,5.5,5,400,141.198,118.206,15,107.16,31.5,590.96,187.756,210,348.926,43.821,2.567,2.163,7.4,7.38,0,0,14.47,4.817,12.723,175/60R15,0.570740749,49,19.67922,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
1+SL,-87,24,-25,Not Applicable,5.5,5,400,141.198,118.206,15,107.16,31.5,590.96,187.756,220,348.926,43.821,2.567,2.163,7.4,7.38,0,0,14.47,4.817,12.723,175/60R15,0.570740749,49,19.67922,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
1+0,90,23,-23,Not Applicable,6.5,4.5,450,126.548,115.829,14,125.98,31.353,600.98,189.989,210,365.602,33.026,3.014,2,7,7,55.245,0,13.65,6.111,12.665,175/70R14,0.663091021,46,10.719,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,70
1+0,90,25,-25,Not Applicable,9,8.5,811,198.704,186,19,109.85,0,700.6,258.575,230,411.681,43.998,3.509,2,6.7,6.631,54.998,0,0,0,0,185/60R15,0.424828386,50,12.704,26,22,22,22,Not Applicable,2000,2x0p3HT,2x0p3HT,1500,Not Applicable,60
1+0,90,25,-25,Not Applicable,9,8.5,811,198.704,186,19,109.85,0,700.6,258.575,250,411.681,43.998,3.509,2,6.7,6.631,54.998,0,0,0,0,185/60R15,0.424828386,50,12.704,26,22,22,22,Not Applicable,2000,2x0p3HT,2x0p3HT,1500,Not Applicable,60
1+0,90,25,-25,Not Applicable,6.5,6,420,143.485,131.688,16,111.9,55.29,624.46,197,180,350.377,34.112,2.998,2.2,0.017,6.976,45,0,14.2,0,5.409,185/60R16,0.568020305,50,11.797,29,22,22,20,Not Applicable,1500,2x0p3HT,2x0p3HT,840,Not Applicable,60
1+0,90,25,-25,Not Applicable,6.5,6,420,143.485,131.688,16,111.9,55.29,624.46,197,210,350.377,34.112,2.998,2.2,0.017,6.976,45,0,14.2,0,5.409,185/60R16,0.568020305,50,11.797,29,22,22,20,Not Applicable,1500,2x0p3HT,2x0p3HT,840,Not Applicable,60
1+0,90,26,-24,Not Applicable,7,6.5,500,164.078,153.019,16,142.23,90.149,684,226.704,180,433.044,46.224,2.971,3.3,7.5,8.489,60,0,16.06,0,5.385,215/65R16,0.627381961,50,11.059,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,65
1+0,90,26,-24,Not Applicable,7,6.5,500,164.078,153.019,16,142.23,90.149,684,226.704,210,433.044,46.224,2.971,3.3,7.5,8.489,60,0,16.06,0,5.385,215/65R16,0.627381961,50,11.059,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,65
1+SL,87,26,-26,Not Applicable,9,8,700,205,193,19,106.2,20,698,257,180,401.3485908,35.63576967,2.500330327,1.5,8,7,0,0,14.576,7.955316678,14.28871357,245/45R19,0.413229572,52,12,28,22,22,25,Not Applicable,1000,2x0p3HT,2x0p3HT,1260,Not Applicable,45
1+SL,87,26,-26,Not Applicable,9,8,700,205,193,19,106.2,20,698,257,210,401.3485908,35.63576967,2.500330327,1.5,8,7,0,0,14.576,7.955316678,14.28871357,245/45R19,0.413229572,52,12,28,22,22,25,Not Applicable,1000,2x0p3HT,2x0p3HT,1260,Not Applicable,45
1+SL,-87,28,-28,Not Applicable,5.5,5,400,137.954,126.221,15,106.87,31.5,588.96,187.718,180,347.244,28.301,2.509,2.5,7.1,7.08,0,0,6.84,5.067,12.928,175/60R15,0.569311414,56,11.733,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
1+SL,-87,28,-28,Not Applicable,5.5,5,400,137.954,126.221,15,106.87,31.5,588.96,187.718,210,347.244,28.301,2.509,2.5,7.1,7.08,0,0,6.84,5.067,12.928,175/60R15,0.569311414,56,11.733,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
1+SL,-87,28,-28,Not Applicable,5.5,5,400,137.954,126.221,15,106.87,31.5,588.96,187.718,220,347.244,28.301,2.509,2.5,7.1,7.08,0,0,6.84,5.067,12.928,175/60R15,0.569311414,56,11.733,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
2+0,90,28,-28,90,6.5,6,700,155.754,143.914,16,136.56,93.313,671.98,212.09,180,416.795,44.066,3.513,2.5,0.013,7.384,70,70,15.74,0,6.607,205/65R16,0.643877599,56,11.84,28,18,18,30,28,1000,NA,NA,1260,28,65
2+0,90,28,-28,90,6.5,6,700,155.754,143.914,16,136.56,93.313,671.98,212.09,210,416.795,44.066,3.513,2.5,0.013,7.384,70,70,15.74,0,6.607,205/65R16,0.643877599,56,11.84,28,18,18,30,28,1000,NA,NA,1260,28,65
2+0,90,28,-28,90,6.5,6,700,155.754,143.914,16,136.56,93.313,671.98,212.09,230,416.795,44.066,3.513,2.5,0.013,7.384,70,70,15.74,0,6.607,205/65R16,0.643877599,56,11.84,28,18,18,30,28,1000,NA,NA,1260,28,65
2+0,90,22,-20,90,7,6.5,400,166.23,159.777,15,163.52,0,702,219,180,462.961,44.421,2.148,3.285,8.836,9.661,63.544,44.392,0,0,0,215/75R15,0.746666667,42,6.453,29,18,18,30,29,1500,NA,NA,1260,29,75
2+0,90,22,-20,90,7,6.5,400,166.23,159.777,15,163.52,0,702,219,210,462.961,44.421,2.148,3.285,8.836,9.661,63.544,44.392,0,0,0,215/75R15,0.746666667,42,6.453,29,18,18,30,29,1500,NA,NA,1260,29,75
1+0,90,28,-28,Not Applicable,5.5,5,399.81,114.171,102.134,14,118.39,29.7,585.96,175,180,342.037,34.054,2.525,2.539,6.941,6.342,55.217,0,15.08,7.134,13.176,165/70R14,0.676514286,56,12.037,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,70
1+0,90,28,-28,Not Applicable,5.5,5,399.81,114.171,102.134,14,118.39,29.7,585.96,175,210,342.037,34.054,2.525,2.539,6.941,6.342,55.217,0,15.08,7.134,13.176,165/70R14,0.676514286,56,12.037,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,70
2+0,90,26,-24,-90,8.5,7.5,941.16,200.601,188.993,19,127.06,24,734,257.077,180,441.776,29.58,3.508,2.1,8,8.025,49.28,48.055,15.92,7.315,14.505,235/55R19,0.494248805,50,11.608,29,18,18,29,29,1500,NA,NA,840,29,55
2+0,90,26,-24,-90,8.5,7.5,941.16,200.601,188.993,19,127.06,24,734,257.077,210,441.776,29.58,3.508,2.1,8,8.025,49.28,48.055,15.92,7.315,14.505,235/55R19,0.494248805,50,11.608,29,18,18,29,29,1500,NA,NA,840,29,55
2+0,90,26,-24,-90,8.5,7.5,941.16,200.601,188.993,19,127.06,24,734,257.077,220,441.776,29.58,3.508,2.1,8,8.025,49.28,48.055,15.92,7.315,14.505,235/55R19,0.494248805,50,11.608,29,18,18,29,29,1500,NA,NA,840,29,55
1+SL,87,27,-25,Not Applicable,7,6.5,500,164.941,149.025,17,127.79,38.7,687,228.999,180,414.585,34.29,2.74,3.382,7.6,8.888,0,0,15.82,9.171,14.974,215/60R17,0.558037371,52,15.916,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,60
1+SL,87,27,-25,Not Applicable,7,6.5,500,164.941,149.025,17,127.79,38.7,687,228.999,210,414.585,34.29,2.74,3.382,7.6,8.888,0,0,15.82,9.171,14.974,215/60R17,0.558037371,52,15.916,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,60
1+0,90,24,-24,Not Applicable,5.5,5,383.56,117.852,105.879,14,118.33,29.7,585.94,174.983,210,343.633,34.05,2.589,2.775,7,6.8,54.049,0,14.91,6.682,12.924,165/70R14,0.67623712,48,11.973,29,18,18,20,Not Applicable,1500,NA,NA,840,Not Applicable,70
1+0,90,24,-24,Not Applicable,5.5,5,383.56,117.852,105.879,14,118.33,29.7,585.94,174.983,250,343.633,34.05,2.589,2.775,7,6.8,54.049,0,14.91,6.682,12.924,165/70R14,0.67623712,48,11.973,29,18,18,20,Not Applicable,1500,NA,NA,840,Not Applicable,70
1+0,90,23,-24,Not Applicable,6.5,6.5,500,168.581,157.103,16,135.5,38.738,670.5,231.985,210,446.463,30.692,2.533,3,7.4,4.691,59.998,0,15.27,7.787,14.359,215/60R16,0.584089489,47,11.478,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,60
1+0,-90,23,-25,Not Applicable,5,4,295,123.986,114.117,14,135.79,74.875,619.96,168.99,210,376.994,40.166,1.188,1.987,7,16.936,67.388,0,14.33,0,4.924,165/80R14,0.803538671,48,9.869,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,80
2+0,-90,27,-27,90,8.5,8,680,190.077,178.124,18,125.42,30,705.6,251.2,220,432.208,37.801,2.501,2,6.8,6.924,60.141,19.957,15.93,5.264,13.346,225/55R18,0.499283439,54,11.953,28,18,18,25,28,1000,NA,NA,1260,28,55
2+0,-90,27,-27,90,8.5,8,680,190.077,178.124,18,125.42,30,705.6,251.2,250,432.208,37.801,2.501,2,6.8,6.924,60.141,19.957,15.93,5.264,13.346,225/55R18,0.499283439,54,11.953,28,18,18,25,28,1000,NA,NA,1260,28,55
1+SL,90,25,-27,Not Applicable,7,6.5,500,168.261,156.578,16,131.13,129.023,661,228,180,425.086,31.603,2.5,3,7.3,6.651,0,0,15.22,0,5.776,215/60R16,0.575131579,52,11.683,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
1+SL,90,25,-27,Not Applicable,7,6.5,500,168.261,156.578,16,131.13,129.023,661,228,210,425.086,31.603,2.5,3,7.3,6.651,0,0,15.22,0,5.776,215/60R16,0.575131579,52,11.683,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
1+SL,90,25,-27,Not Applicable,7,6.5,500,168.261,156.578,16,131.13,129.023,661,228,230,425.086,31.603,2.5,3,7.3,6.651,0,0,15.22,0,5.776,215/60R16,0.575131579,52,11.683,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
1+0,-90,23,-25,Not Applicable,5,4,295,123.986,114.117,14,135.79,74.875,619.96,168.99,180,376.994,40.166,1.188,1.987,7,16.936,67.388,0,14.33,0,4.924,165/80R14,0.803538671,48,9.869,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,80
